train_loss,train_accuracy,train_class_accuracies,train_f1,train_map,val_loss,val_accuracy,val_class_accuracies,val_f1,val_map
2.4973044839557166,0.5574136008918618,"[0.6684483994266602, 0.7149128045867177, 0.46966077400860007, 0.60230530339226, 0.488622790253225, 0.4005315336837076]",0.08082215248680523,0.13723010162497443,1.2399412913708334,0.8083692528735632,"[0.8092672413793104, 0.9525862068965517, 0.684985632183908, 0.8466235632183907, 0.769037356321839, 0.7877155172413793]",0.44965797678104025,0.3441979240330086
1.351154963698943,0.772948518872432,"[0.7851469182990922, 0.9180303392259914, 0.7033265647396082, 0.8024964166268514, 0.743967988533206, 0.6847228858098423]",0.43321303515027293,0.3347412207794522,0.963400035277201,0.8986470306513409,"[0.8933189655172413, 0.9870689655172413, 0.8207614942528735, 0.9213362068965517, 0.8135775862068966, 0.9558189655172413]",0.7172825950226107,0.5726343165409216
1.058611461650786,0.8215480172001911,"[0.8301481127568084, 0.9404562828475871, 0.7591376015289059, 0.8548733874820832, 0.8048853320592451, 0.739787386526517]",0.5465979359733334,0.4600747209603712,0.9698963569396025,0.8948156130268199,"[0.8089080459770115, 0.9924568965517241, 0.8142959770114943, 0.9450431034482759, 0.8383620689655172, 0.9698275862068966]",0.7300421638209157,0.5891467495814097
0.875606616879262,0.8466515368689281,"[0.8511108456760631, 0.9469063545150501, 0.8010033444816054, 0.8808528428093646, 0.8354335881509795, 0.7646022455805064]",0.5996909062965521,0.5470392260228668,1.0133215102716766,0.8950550766283524,"[0.8286637931034483, 0.990301724137931, 0.809985632183908, 0.9450431034482759, 0.8297413793103449, 0.9665948275862069]",0.7453471502918315,0.5823750462977849
0.6960954552061595,0.8754130832935182,"[0.8718048256091734, 0.9659280936454849, 0.8494386048733875, 0.9025919732441472, 0.851887243191591, 0.8108277591973244]",0.6617770651801843,0.64118496383509,1.0295150312228203,0.9005627394636014,"[0.8336925287356322, 0.990301724137931, 0.8250718390804598, 0.9418103448275862, 0.8243534482758621, 0.9881465517241379]",0.7756351002632749,0.5992025853745039
0.5885039906918185,0.8819079471253385,"[0.8824653607262302, 0.9688545150501672, 0.861353320592451, 0.9112517916865743, 0.8617116579073101, 0.8058110367892977]",0.6817474222929243,0.6777540095235758,0.9827947870172148,0.9179238505747126,"[0.8717672413793104, 0.9935344827586207, 0.8609913793103449, 0.9536637931034483, 0.8394396551724138, 0.9881465517241379]",0.8040491937586921,0.6278276938673514
0.4982293045072296,0.8946438525242874,"[0.8971571906354515, 0.9634197324414716, 0.8846452460582895, 0.9186872909698997, 0.8780757286192068, 0.8258779264214047]",0.7048184697524613,0.7252714651772397,1.1119255301769735,0.9131944444444445,"[0.8803879310344828, 0.9924568965517241, 0.8433908045977011, 0.9428879310344828, 0.8308189655172413, 0.9892241379310345]",0.795402102455347,0.5996727623276553
0.4427496425694292,0.9073648272017838,"[0.9062649307214524, 0.9657489249880554, 0.908683707596751, 0.9279144768275203, 0.8836598184424271, 0.8519171046344959]",0.7348365125676296,0.7460349533711402,1.2614674017466887,0.909243295019157,"[0.8900862068965517, 0.9892241379310345, 0.8347701149425287, 0.9267241379310345, 0.8275862068965517, 0.9870689655172413]",0.7819043697422225,0.5853463534506419
0.4000402348284486,0.915551839464883,"[0.9235845676063068, 0.9676899187768754, 0.8989190157668419, 0.9385152890587674, 0.8919314381270903, 0.8726708074534162]",0.7546525676864051,0.7856607475018017,1.0723204922692529,0.9195402298850576,"[0.8997844827586207, 0.9946120689655172, 0.8674568965517241, 0.9385775862068966, 0.8275862068965517, 0.9892241379310345]",0.8042964245824787,0.6332826617265699
0.35204085280335257,0.9253663003663005,"[0.9377090301003345, 0.970108695652174, 0.9199414715719063, 0.940874343048256, 0.9044732441471572, 0.8790910176779742]",0.7741164846012308,0.8030056347642565,1.2251217467649471,0.9085249042145594,"[0.8706896551724138, 0.9924568965517241, 0.8423132183908045, 0.9407327586206896, 0.8265086206896551, 0.978448275862069]",0.7877701251234551,0.5942681473958941
0.30729385856048513,0.9335533126293996,"[0.9466973244147158, 0.9652412804586716, 0.9297957477305303, 0.9489966555183946, 0.9221810797897754, 0.8884077878643095]",0.7930463311487824,0.8303133574031419,1.3753379270324173,0.8979286398467433,"[0.8362068965517241, 0.9924568965517241, 0.831537356321839, 0.9407327586206896, 0.8017241379310345, 0.9849137931034483]",0.7793701385464608,0.5714649887777256
0.2711650567010717,0.9454083054626533,"[0.9563127090301003, 0.9763795986622074, 0.9420986622073578, 0.9579849498327759, 0.9297658862876255, 0.9099080267558528]",0.8242060725365441,0.8521530604841271,1.4447619602201927,0.888948754789272,"[0.7794540229885057, 0.9967672413793104, 0.8010057471264368, 0.9450431034482759, 0.8200431034482759, 0.9913793103448276]",0.77922731541821,0.5753975042792231
0.26255877807379874,0.9493301082974996,"[0.9579849498327759, 0.971989966555184, 0.9458910654562828, 0.9596571906354515, 0.9423076923076923, 0.9181497849976111]",0.833393352970992,0.8675756657464776,1.2335074441416942,0.914272030651341,"[0.8836206896551724, 0.9935344827586207, 0.8477011494252873, 0.947198275862069, 0.8211206896551724, 0.9924568965517241]",0.8112177309900783,0.5942616547823274
0.22765214754378782,0.9540233317407231,"[0.9641961299569994, 0.9755434782608695, 0.9512362637362637, 0.9656593406593406, 0.9403666985188723, 0.9271380793119924]",0.8484804858970542,0.884838745436978,1.161374164473752,0.9110392720306514,"[0.8685344827586207, 0.9935344827586207, 0.831537356321839, 0.947198275862069, 0.8318965517241379, 0.9935344827586207]",0.8055384534695129,0.6171501976696439
0.19416252363314876,0.9591047539417104,"[0.9667940754897276, 0.9745879120879121, 0.9621058289536549, 0.9666447682752031, 0.9512362637362637, 0.9332596751075011]",0.8594908026596548,0.9033578305832078,1.6109004390986537,0.886015325670498,"[0.7941810344827587, 0.9967672413793104, 0.8304597701149425, 0.9331896551724138, 0.7701149425287356, 0.9913793103448276]",0.7619121736459483,0.5619173052504953
